CanBeHeldInAPension__c,CanBeHeldInTrust__c,CanProvideIncome__c,Category__c,DescriptionCustomer__c,DescriptionInternal__c,DeveloperName__c,DisplayInPortal__c,HasAnnualEarnings__c,HasAPurchaseValue__c,HasRelatedLiability__c,HasRetainedEarnings__c,Id,Name,NeedsFurtherDescription__c,SortOrder__c
Never,Mandatory,Ask if we need it,Property,,This is your main home that you live in most of the time,PRIMARY_RESIDENTIAL,Mandatory,Never,Optional,Optional,Never,a0uQz000002C07xIAC,Primary Residential,Optional,
Never,Mandatory,Ask if we need it,Property,,This is any other property that you often live in,ADDITIONAL_RESIDENTIAL,Mandatory,Never,Optional,Optional,Never,a0uQz000002C07yIAC,Additional Residential,Optional,
Never,Mandatory,Ask if we need it,Property,,"Any property which you own with the intention to make money with. Maybe you rent it out to others, or maybe you are holding it while it appreciates.",BUY_TO_LET_INVESTMENT,Mandatory,Never,Optional,Optional,Never,a0uQz000002C07zIAC,Buy to let/Investment,Optional,
Never,Mandatory,Ask if we need it,Property,,A property which you stay in for a small amount of time per year. You may or may not rent it out to others for the rest of the time,HOLIDAY_HOME,Mandatory,Never,Optional,Optional,Never,a0uQz000002C080IAC,Holiday home,Optional,
Mandatory,Mandatory,Ask if we need it,Property,,"A collection of properties you own, all of which are commercial properties. If you have these, you'll know.",PORTFOLIO_COMMERCIAL,Mandatory,Never,Optional,Optional,Never,a0uQz000002C081IAC,Portfolio - Commercial,Optional,
Never,,Ask if we need it,Property,,"A collection of properties that you own, of any type except commercial",PORTFOLIO_NON_COMMERCIAL,,,Optional,Optional,Never,a0uQz000002C082IAC,Portfolio - non commercial,Optional,
Mandatory,Mandatory,Ask if we need it,Property,,"Any land that you own, for example farmland, forestry or undeveloped plots",AGRICULTURAL_LAND,Mandatory,Never,Optional,Optional,Never,a0uQz000002C083IAC,Agricultural & Land,Optional,
Mandatory,Mandatory,Ask if we need it,Property,,"A property used for commercial purposes. If you have this, you'll know.",COMMERCIAL,Mandatory,Never,Optional,Optional,Never,a0uQz000002C084IAC,Commercial,Optional,
Mandatory,Mandatory,Never,Business,,A privately owned company of which you own some or all of the shares,PRIVATE_LIMITED_COMPANY,Mandatory,Optional,Optional,Optional,Optional,a0uQz000002C085IAC,Private limited company,Optional,
Never,Never,Never,Business,,"A limited liability partnership which you are a member of with an entitlement to some or all of the profits. If you have this, you'll know/",LIMITED_LIABILITY_PARTNERSHIP,Mandatory,Never,Optional,Optional,Optional,a0uQz000002C086IAC,Limited liability partnership,Optional,
Mandatory,Mandatory,Never,Business,,"Non-physical assets. If you have one of these, you'll know.",INTELLECTUAL_PROPERTY_PATENT_OR_LICENSING_RIGHTS,Never,Never,Optional,Optional,Optional,a0uQz000002C087IAC,"Intellectual property, patent or licensing rights",Optional,
Never,Never,Ask if we need it,Vehicles,,"Any car that you own, whether for day to day use or a classic sports car.",CAR,,Never,Optional,Optional,Never,a0uQz000002C088IAC,Car,Optional,
Never,Never,Ask if we need it,Vehicles,,"Any motorcycle that you own, whether for day to day use or a classic sports car.",MOTORCYCLE,,Never,Optional,Optional,Never,a0uQz000002C089IAC,Motorcycle,Optional,
Never,Never,Ask if we need it,Vehicles,,Any bicycle you own with significant value.,BICYCLE,,Never,Optional,Optional,Never,a0uQz000002C08AIAS,Bicycle,Optional,
Never,Never,Ask if we need it,Vehicles,,Any caravan that you own.,CARAVAN,,Never,Optional,Optional,Never,a0uQz000002C08BIAS,Caravan,Optional,
Never,Mandatory,Ask if we need it,Vehicles,,Any boat that you own.,BOAT,,Never,Optional,Optional,Never,a0uQz000002C08CIAS,Boat,Optional,
Never,Mandatory,Ask if we need it,Vehicles,,Any plane that you own.,PLANE,,Never,Optional,Optional,Never,a0uQz000002C08DIAS,Plane,Optional,
Never,Mandatory,Ask if we need it,Vehicles,,Any horsebox that you own with significant value.,HORSEBOX,,Never,Optional,Optional,Never,a0uQz000002C08EIAS,Horsebox,Optional,
Never,Mandatory,Ask if we need it,Objects,,Any art that you own with significant value.,ART,,Never,Optional,Optional,Never,a0uQz000002C08FIAS,Art,Optional,
Never,Mandatory,Ask if we need it,Objects,,Any gold that you own with significant value.,GOLD,,Never,Optional,Optional,Never,a0uQz000002C08GIAS,Gold,Optional,
Never,Mandatory,Ask if we need it,Objects,,Any jewellery that you own with significant value.,JEWELLERY,,Never,Optional,Optional,Never,a0uQz000002C08HIAS,Jewellery,Optional,
Never,Mandatory,Ask if we need it,Objects,,Any watch that you own with significant value.,WATCH,,Never,Optional,Optional,Never,a0uQz000002C08IIAS,Watch,Optional,
Never,Mandatory,Ask if we need it,Objects,,Any wine that you own with significant value.,WINE,,Never,Optional,Optional,Never,a0uQz000002C08JIAS,Wine,Optional,
Never,Mandatory,Ask if we need it,Objects,,Any private collection that you own with significant value.,COLLECTION,,Never,Optional,Optional,Never,a0uQz000002C08KIAS,Collection,Optional,
Never,Mandatory,Ask if we need it,Objects,,Any antique that you own with significant value.,ANTIQUE,,Never,Optional,Optional,Never,a0uQz000002C08LIAS,Antique,Optional,
Never,Mandatory,Ask if we need it,Objects,,Any whiskey that you own with significant value.,WHISKEY,,Never,Optional,Optional,Never,a0uQz000002C08MIAS,Whiskey,Optional,
Never,Mandatory,Ask if we need it,Objects,,Any instrument that you own with significant value.,MUSICAL_INSTRUMENT,,Never,Optional,Optional,Never,a0uQz000002C08NIAS,Musical instrument,Optional,
Never,Mandatory,Ask if we need it,Objects,,Any tech / gadgets that you own with significant value.,TECHNOLOGY,,Never,Optional,Optional,Never,a0uQz000002C08OIAS,Tech,Optional,
Never,Mandatory,Ask if we need it,Objects,,Any other item which has signifcant value.,OTHER_VALUABLE_OBJECT,,Never,Optional,Optional,Never,a0uQz000002C08PIAS,Other valuable object,Optional,
Mandatory,Mandatory,Ask if we need it,Objects,,Any foreign currency which you hold in the UK or abroad.,FOREIGN_CURRENCY,,Never,Optional,Optional,Never,a0uQz000002C08QIAS,Foreign Currency,Optional,
Never,Mandatory,Ask if we need it,Objects,,Any cryptocurrency which you own.,CRYPTOCURRENCY,,Never,Optional,Optional,Never,a0uQz000002C08RIAS,Cryptocurrency,Optional,
Never,Mandatory,Ask if we need it,Objects,,"Any crypto assets aside from cryptocurrency, e.g. NFTs",CRYPTO_ASSETS,,Never,Optional,Optional,Never,a0uQz000002C08SIAS,Crypto assets,Optional,
Mandatory,Never,Ask if we need it,Loan,,Any loans you have personally made to individuals or businesses of significant value.,FAMILY_LOAN,,Never,Never,Never,Never,a0uQz000002C08TIAS,Family loan,Optional,
