AdditionalAmlRequirement__c,AdditionalBankDetails__c,DestinationProductRecordType__c,DestinationProductType__c,ExcludeFromUpdate__c,ExpressionOfWishFormRequirement__c,FormsRequired__c,Id,Name,Product__c,RecommendationType__c,ReferenceName__c,TransferFormsRequirement__c,UpdateEmailHeadline__c
Required,Required,0121t0000001eRHAAY,0121t0000001eRHAAY,FALSE,Not required,FALSE,EMPLOYER_LUMP_SUM_SIPP,Employer Lump sum SIPP,SIPP_HUBWISE,LUMP_SUM,EMPLOYER_LUMP_SUM_SIPP,Not required,Employer lump sum to your NOVA SIPP
Required,Required,0121t0000001eRHAAY,0121t0000001eRHAAY,FALSE,Not required,FALSE,EMPLOYER_REGULAR_SIPP,Employer Regular SIPP,SIPP_HUBWISE,REGULAR,EMPLOYER_REGULAR_SIPP,Not required,Employer regular to your NOVA SIPP
Not required,Not required,0121t0000001ePeAAI,0121t0000001ePeAAI,FALSE,Not required,FALSE,EXTERNAL_TRANSFER_GIA,External transfer GIA,GIA_HUBWISE,EXTERNAL_TRANSFER_IN,EXTERNAL_TRANSFER_GIA,Required,{cedingprovider} transfer
Not required,Not required,0121t0000001eNHAAY,0121t0000001eNHAAY,FALSE,Not required,FALSE,EXTERNAL_TRANSFER_ISA,External transfer ISA,SSISA_HUBWISE,EXTERNAL_TRANSFER_IN,EXTERNAL_TRANSFER_ISA,Required,{cedingprovider} ISA transfer
Not required,Not required,0121t0000001l9AAAQ,0121t0000001l9AAAQ,FALSE,Not required,FALSE,EXTERNAL_TRANSFER_JUNIOR_ISA,External transfer Junior ISA,JISA_HUBWISE,EXTERNAL_TRANSFER_IN,EXTERNAL_TRANSFER_JUNIOR_ISA,Required,{cedingprovider} Junior ISA transfer
Not required,Not required,0124J000000d1BjQAI,0124J000000d1BjQAI,FALSE,Not required,FALSE,EXTERNAL_TRANSFER_JUNIOR_SIPP,External transfer Junior SIPP,JSIPP_HUBWISE,EXTERNAL_TRANSFER_IN,EXTERNAL_TRANSFER_JUNIOR_SIPP,Required,{cedingprovider} Junior SIPP transfer
Not required,Not required,0121t0000001eRHAAY,0121t0000001eRHAAY,FALSE,Not required,FALSE,EXTERNAL_TRANSFER_SIPP,External transfer SIPP,SIPP_HUBWISE,EXTERNAL_TRANSFER_IN,EXTERNAL_TRANSFER_SIPP,Required,{cedingprovider} pension transfer
Not required,Not required,0121t0000001ePeAAI,0121t0000001ePeAAI,FALSE,Not required,FALSE,INTERNAL_TRANSFER_GIA,Internal transfer GIA,GIA_HUBWISE,INTERNAL_TRANSFER,INTERNAL_TRANSFER_GIA,Not required,Internal transfer to your NOVA GIA
Not required,Not required,0121t0000001eNHAAY,0121t0000001eNHAAY,FALSE,Not required,FALSE,INTERNAL_TRANSFER_ISA,Internal transfer ISA,SSISA_HUBWISE,INTERNAL_TRANSFER,INTERNAL_TRANSFER_ISA,Not required,Internal transfer from your NOVA GIA to your NOVA ISA
Not required,Not required,0121t0000001l9AAAQ,0121t0000001l9AAAQ,FALSE,Not required,FALSE,INTERNAL_TRANSFER_JUNIOR_ISA,Internal transfer Junior ISA,JISA_HUBWISE,INTERNAL_TRANSFER,INTERNAL_TRANSFER_JUNIOR_ISA,Not required,Internal transfer from your NOVA GIA to your NOVA Junior ISA
Not required,Not required,0124J000000d1BjQAI,0124J000000d1BjQAI,FALSE,Not required,FALSE,INTERNAL_TRANSFER_JUNIOR_SIPP,Internal transfer Junior SIPP,JSIPP_HUBWISE,INTERNAL_TRANSFER,INTERNAL_TRANSFER_JUNIOR_SIPP,Not required,Internal transfer from your NOVA GIA  to your NOVA Junior SIPP
Not required,Not required,0121t0000001eRHAAY,0121t0000001eRHAAY,FALSE,Not required,FALSE,INTERNAL_TRANSFER_SIPP,Internal transfer SIPP,SIPP_HUBWISE,INTERNAL_TRANSFER,INTERNAL_TRANSFER_SIPP,Not required,Internal transfer from your NOVA GIA  to your NOVA SIPP
Not required,Not required,0121t0000001ePeAAI,0121t0000001ePeAAI,FALSE,Not required,FALSE,LUMP_SUM_GIA,Lump sum GIA,GIA_HUBWISE,LUMP_SUM,LUMP_SUM_GIA,Not required,Lump sum to your NOVA GIA
Not required,Not required,0121t0000001eNHAAY,0121t0000001eNHAAY,FALSE,Not required,FALSE,LUMP_SUM_ISA,Lump sum ISA,SSISA_HUBWISE,LUMP_SUM,LUMP_SUM_ISA,Not required,Lump sum to your NOVA ISA
Not required,Not required,0121t0000001l9AAAQ,0121t0000001l9AAAQ,FALSE,Not required,FALSE,LUMP_SUM_JUNIOR_ISA,Lump sum Junior ISA,JISA_HUBWISE,LUMP_SUM,LUMP_SUM_JUNIOR_ISA,Not required,Lump sum to your NOVA Junior ISA
Not required,Not required,0124J000000d1BjQAI,0124J000000d1BjQAI,FALSE,Not required,FALSE,LUMP_SUM_JUNIOR_SIPP,Lump sum Junior SIPP,JSIPP_HUBWISE,LUMP_SUM,LUMP_SUM_JUNIOR_SIPP,Not required,Lump sum to your NOVA Junior SIPP
Not required,Not required,0121t0000001eRHAAY,0121t0000001eRHAAY,FALSE,Not required,FALSE,LUMP_SUM_SIPP,Lump sum SIPP,SIPP_HUBWISE,LUMP_SUM,LUMP_SUM_SIPP,Not required,Lump sum to your NOVA SIPP
Not required,Not required,0121t0000001ePeAAI,0121t0000001ePeAAI,TRUE,Not required,FALSE,OPEN_PRODUCT_GIA,Open product GIA,GIA_HUBWISE,OPEN_PRODUCT,OPEN_PRODUCT_GIA,Not required,
Not required,Not required,0121t0000001eNHAAY,0121t0000001eNHAAY,TRUE,Not required,FALSE,OPEN_PRODUCT_ISA,Open product ISA,SSISA_HUBWISE,OPEN_PRODUCT,OPEN_PRODUCT_ISA,Not required,
Not required,Not required,0121t0000001l9AAAQ,0121t0000001l9AAAQ,TRUE,Not required,FALSE,OPEN_PRODUCT_JUNIOR_ISA,Open product Junior ISA,JISA_HUBWISE,OPEN_PRODUCT,OPEN_PRODUCT_JUNIOR_ISA,Not required,
Not required,Not required,0124J000000d1BjQAI,0124J000000d1BjQAI,TRUE,Required,FALSE,OPEN_PRODUCT_JUNIOR_SIPP,Open product Junior SIPP,JSIPP_HUBWISE,OPEN_PRODUCT,OPEN_PRODUCT_JUNIOR_SIPP,Not required,
Not required,Not required,0121t0000001eRHAAY,0121t0000001eRHAAY,TRUE,Required,FALSE,OPEN_PRODUCT_SIPP,Open product SIPP,SIPP_HUBWISE,OPEN_PRODUCT,OPEN_PRODUCT_SIPP,Not required,
Not required,Not required,0121t0000001ePeAAI,0121t0000001ePeAAI,TRUE,Not required,FALSE,REBALANCE_GIA,Rebalance GIA,GIA_HUBWISE,REBALANCE,REBALANCE_GIA,Not required,Rebalance to your NOVA GIA
Not required,Not required,0121t0000001eNHAAY,0121t0000001eNHAAY,TRUE,Not required,FALSE,REBALANCE_ISA,Rebalance ISA,SSISA_HUBWISE,REBALANCE,REBALANCE_ISA,Not required,Rebalance to your NOVA ISA
Not required,Not required,0121t0000001l9AAAQ,0121t0000001l9AAAQ,TRUE,Not required,FALSE,REBALANCE_JUNIOR_ISA,Rebalance Junior ISA,JISA_HUBWISE,REBALANCE,REBALANCE_JUNIOR_ISA,Not required,Rebalance to your NOVA Junior ISA
Not required,Not required,0124J000000d1BjQAI,0124J000000d1BjQAI,TRUE,Not required,FALSE,REBALANCE_JUNIOR_SIPP,Rebalance Junior SIPP,JSIPP_HUBWISE,REBALANCE,REBALANCE_JUNIOR_SIPP,Not required,Rebalance to your NOVA Junior SIPP
Not required,Not required,0121t0000001eRHAAY,0121t0000001eRHAAY,TRUE,Not required,FALSE,REBALANCE_SIPP,Rebalance SIPP,SIPP_HUBWISE,REBALANCE,REBALANCE_SIPP,Not required,Rebalance to your NOVA SIPP
Not required,Not required,0121t0000001ePeAAI,0121t0000001ePeAAI,FALSE,Not required,FALSE,REGULAR_GIA,Regular GIA,GIA_HUBWISE,REGULAR,REGULAR_GIA,Not required,Regular to your NOVA GIA
Not required,Not required,0121t0000001eNHAAY,0121t0000001eNHAAY,FALSE,Not required,FALSE,REGULAR_ISA,Regular ISA,SSISA_HUBWISE,REGULAR,REGULAR_ISA,Not required,Regular to your NOVA ISA
Not required,Not required,0121t0000001l9AAAQ,0121t0000001l9AAAQ,FALSE,Not required,FALSE,REGULAR_JUNIOR_ISA,Regular Junior ISA,JISA_HUBWISE,REGULAR,REGULAR_JUNIOR_ISA,Not required,Regular to your NOVA Junior ISA
Not required,Not required,0124J000000d1BjQAI,0124J000000d1BjQAI,FALSE,Not required,FALSE,REGULAR_JUNIOR_SIPP,Regular Junior SIPP,JSIPP_HUBWISE,REGULAR,REGULAR_JUNIOR_SIPP,Not required,Regular to your NOVA Junior SIP
Not required,Not required,0121t0000001eRHAAY,0121t0000001eRHAAY,FALSE,Not required,FALSE,REGULAR_SIPP,Regular SIPP,SIPP_HUBWISE,REGULAR,REGULAR_SIPP,Not required,Regular to your NOVA SIPP
Not required,Not required,0121t0000001ePeAAI,0121t0000001ePeAAI,TRUE,Not required,FALSE,SWITCH_GIA,Switch GIA,GIA_HUBWISE,PORTFOLIO_SWITCH,SWITCH_GIA,Not required,Portfolio switch for your NOVA GIA
Not required,Not required,0121t0000001eNHAAY,0121t0000001eNHAAY,TRUE,Not required,FALSE,SWITCH_ISA,Switch ISA,SSISA_HUBWISE,PORTFOLIO_SWITCH,SWITCH_ISA,Not required,Portfolio switch for your NOVA ISA
Not required,Not required,0121t0000001l9AAAQ,0121t0000001l9AAAQ,TRUE,Not required,FALSE,SWITCH_JUNIOR_ISA,Switch Junior ISA,JISA_HUBWISE,PORTFOLIO_SWITCH,SWITCH_JUNIOR_ISA,Not required,Portfolio switch for your NOVA Junior ISA
Not required,Not required,0124J000000d1BjQAI,0124J000000d1BjQAI,TRUE,Not required,FALSE,SWITCH_JUNIOR_SIPP,Switch Junior SIPP,JSIPP_HUBWISE,PORTFOLIO_SWITCH,SWITCH_JUNIOR_SIPP,Not required,Portfolio switch for your NOVA Junior SIPP
Not required,Not required,0121t0000001eRHAAY,0121t0000001eRHAAY,TRUE,Not required,FALSE,SWITCH_SIPP,Switch SIPP,SIPP_HUBWISE,PORTFOLIO_SWITCH,SWITCH_SIPP,Not required,Portfolio switch for your NOVA SIPP
Not required,Not required,0121t0000001ePeAAI,0121t0000001ePeAAI,FALSE,Not required,FALSE,CANCEL_REGULAR_GIA,Cancel regular GIA,GIA_HUBWISE,CANCEL_EXISTING_REGULAR,CANCEL_REGULAR_GIA,Not required,Cancellation of your regular
Not required,Not required,0121t0000001eNHAAY,0121t0000001eNHAAY,FALSE,Not required,FALSE,CANCEL_REGULAR_ISA,Cancel regular ISA,SSISA_HUBWISE,CANCEL_EXISTING_REGULAR,CANCEL_REGULAR_ISA,Not required,Cancellation of your regular
Not required,Not required,0121t0000001l9AAAQ,0121t0000001l9AAAQ,FALSE,Not required,FALSE,CANCEL_REGULAR_JUNIOR_ISA,Cancel regular Junior ISA,JISA_HUBWISE,CANCEL_EXISTING_REGULAR,CANCEL_REGULAR_JUNIOR_ISA,Not required,Cancellation of your regular
Not required,Not required,0124J000000d1BjQAI,0124J000000d1BjQAI,FALSE,Not required,FALSE,CANCEL_REGULAR_JUNIOR_SIPP,Cancel regular Junior SIPP,JSIPP_HUBWISE,CANCEL_EXISTING_REGULAR,CANCEL_REGULAR_JUNIOR_SIPP,Not required,Cancellation of your regular
Not required,Not required,0121t0000001eRHAAY,0121t0000001eRHAAY,FALSE,Not required,FALSE,CANCEL_REGULAR_SIPP,Cancel regular SIPP,SIPP_HUBWISE,CANCEL_EXISTING_REGULAR,CANCEL_REGULAR_SIPP,Not required,Cancellation of your regular
Not required,Not required,0121t0000001ePeAAI,0121t0000001ePeAAI,FALSE,Not required,FALSE,CHANGE_TO_REGULAR_GIA,Change to regular GIA,GIA_HUBWISE,CHANGE_EXISTING_REGULAR,CHANGE_TO_REGULAR_GIA,Not required,Change to your regular
Not required,Not required,0121t0000001eNHAAY,0121t0000001eNHAAY,FALSE,Not required,FALSE,CHANGE_TO_REGULAR_ISA,Change to regular ISA,SSISA_HUBWISE,CHANGE_EXISTING_REGULAR,CHANGE_TO_REGULAR_ISA,Not required,Change to your regular
Not required,Not required,0121t0000001l9AAAQ,0121t0000001l9AAAQ,FALSE,Not required,FALSE,CHANGE_TO_REGULAR_JUNIOR_ISA,Change to regular Junior ISA,JISA_HUBWISE,CHANGE_EXISTING_REGULAR,CHANGE_TO_REGULAR_JUNIOR_ISA,Not required,Change to your regular
Not required,Not required,0124J000000d1BjQAI,0124J000000d1BjQAI,FALSE,Not required,FALSE,CHANGE_TO_REGULAR_JUNIOR_SIPP,Change to regular Junior SIPP,JSIPP_HUBWISE,CHANGE_EXISTING_REGULAR,CHANGE_TO_REGULAR_JUNIOR_SIPP,Not required,Change to your regular
Not required,Not required,0121t0000001eRHAAY,0121t0000001eRHAAY,FALSE,Not required,FALSE,CHANGE_TO_REGULAR_SIPP,Change to regular SIPP,SIPP_HUBWISE,CHANGE_EXISTING_REGULAR,CHANGE_TO_REGULAR_SIPP,Not required,Change to your regular
Not required,Not required,0121t0000001ePeAAI,0121t0000001ePeAAI,TRUE,Not required,FALSE,LUMP_SUM_WITHDRAWAL_GIA,Lump sum withdrawal GIA,GIA_HUBWISE,LUMP_SUM_WITHDRAWAL,LUMP_SUM_WITHDRAWAL_GIA,Not required,
Not required,Not required,0121t0000001eNHAAY,0121t0000001eNHAAY,TRUE,Not required,FALSE,LUMP_SUM_WITHDRAWAL_ISA,Lump sum withdrawal ISA,SSISA_HUBWISE,LUMP_SUM_WITHDRAWAL,LUMP_SUM_WITHDRAWAL_ISA,Not required,
Not required,Not required,0121t0000001ePeAAI,0121t0000001ePeAAI,TRUE,Not required,FALSE,REGULAR_WITHDRAWAL_GIA,Regular withdrawal GIA,GIA_HUBWISE,REGULAR_WITHDRAWAL,REGULAR_WITHDRAWAL_GIA,Not required,
Not required,Not required,0121t0000001eRHAAY,0121t0000001eRHAAY,TRUE,Not required,FALSE,LUMP_SUM_WITHDRAWAL_SIPP,Lump sum withdrawal SIPP,SIPP_HUBWISE,LUMP_SUM_WITHDRAWAL,LUMP_SUM_WITHDRAWAL_SIPP,Not required,
Not required,Not required,0121t0000001eNHAAY,0121t0000001eNHAAY,TRUE,Not required,FALSE,REGULAR_WITHDRAWAL_ISA,Regular withdrawal ISA,SSISA_HUBWISE,REGULAR_WITHDRAWAL,REGULAR_WITHDRAWAL_ISA,Not required,
Not required,Not required,0121t0000001eRHAAY,0121t0000001eRHAAY,TRUE,Not required,FALSE,REGULAR_WITHDRAWAL_SIPP,Regular withdrawal SIPP,SIPP_HUBWISE,REGULAR_WITHDRAWAL,REGULAR_WITHDRAWAL_SIPP,Not required,
,Not required,0121t0000001eO9AAI,0121t0000001eO9AAI,TRUE,Not required,FALSE,OPEN_PRODUCT_VCT,Open product VCT,,OPEN_PRODUCT,OPEN_PRODUCT_VCT,Not required,
Not required,Not required,0121t0000001eObAAI,0121t0000001eObAAI,TRUE,Not required,FALSE,OPEN_PRODUCT_EIS,Open product Knowledge Intensive EIS,KI_OI_EIS,OPEN_PRODUCT,OPEN_PRODUCT_EIS,Not required,
Not required,Not required,0121t0000001eObAAI,0121t0000001eObAAI,FALSE,Not required,FALSE,LUMP_SUM_EIS,Lump sum Knowledge Intensive EIS,KI_OI_EIS,LUMP_SUM,LUMP_SUM_EIS,Not required,Lump sum to your new EIS
,Not required,0121t0000001eO9AAI,0121t0000001eO9AAI,FALSE,Not required,FALSE,LUMP_SUM_VCT,Lump sum VCT,,LUMP_SUM,LUMP_SUM_VCT,Not required,Lump sum to your new VCT
Not required,Not required,0121t0000001eRHAAY,0121t0000001eRHAAY,FALSE,Not required,FALSE,CLIENT_ACTION_SIPP,Client action SIPP,SIPP_HUBWISE,CLIENT_ACTION,CLIENT_ACTION_SIPP,Not required,{nsaction} - {destinationprovider} SIPP
Not required,Not required,0121t0000001eNHAAY,0121t0000001eNHAAY,FALSE,Not required,FALSE,CLIENT_ACTION_ISA,Client action ISA,SSISA_HUBWISE,CLIENT_ACTION,CLIENT_ACTION_ISA,Not required,{nsaction} - {destinationprovider} ISA
Not required,Not required,0121t0000001l9AAAQ,0121t0000001l9AAAQ,FALSE,Not required,FALSE,CLIENT_ACTION_JISA,Client action JISA,JISA_HUBWISE,CLIENT_ACTION,CLIENT_ACTION_JISA,Not required,{nsaction} - {destinationprovider} JISA
Not required,Not required,0124J000000d1BjQAI,0124J000000d1BjQAI,FALSE,Not required,FALSE,CLIENT_ACTION_JSIPP,Client action JSIPP,JSIPP_HUBWISE,CLIENT_ACTION,CLIENT_ACTION_JSIPP,Not required,{nsaction} - {destinationprovider} JSIPP
Not required,Not required,0121t0000001ePeAAI,0121t0000001ePeAAI,FALSE,Not required,FALSE,CLIENT_ACTION_GIA,Client action GIA,GIA_HUBWISE,CLIENT_ACTION,CLIENT_ACTION_GIA,Not required,{nsaction} - {destinationprovider} GIA
Not required,Not required,0121t0000001eN1AAI,0121t0000001eN1AAI,FALSE,Not required,FALSE,CLIENT_ACTION_CASH_ISA,Client action Cash ISA,,CLIENT_ACTION,CLIENT_ACTION_CASH_ISA,Not required,{nsaction} - {destinationprovider} Cash ISA
