DefaultAmount__c,DefaultOverrideable__c,Description__c,DeveloperName__c,Discountable__c,Duration__c,Format__c,Id,Maximum__c,Minimum__c,Name,NovaId__c,Product__c,ProductRecordType__c,RecommendationType__c,RevenueDueTo__c
2000,True,,REF_4,False,One-off,Fixed amount,REF_4,10000,0,Initial advice fee,a2V8e000000c3O2EAI,,,,
,False,,REF_15,False,Ongoing,Percentage,REF_15,,,Ongoing advice fee,a2V8e000000c3O7EAI,,,,
0.5,False,,REF_17,False,Ongoing,Percentage,REF_17,,,Titan ongoing fee,,VCT_TITAN_OI,,LUMP_SUM,NOVA
2.5,False,,REF_5,False,One-off,Percentage,REF_5,,,Knowledge intensive initial fee,,KI_OI_EIS,,LUMP_SUM,NOVA
0.5,False,,REF_2,False,Ongoing,Percentage,REF_2,,,Apollo ongoing fee,,VCT_APOLLO_OI,,LUMP_SUM,NOVA
2.5,False,,REF_3,False,One-off,Percentage,REF_3,,,Future generation initial fee,,FG_OI_VCT,,LUMP_SUM,NOVA
0.5,False,The ongoing fee paid to NOVA as a result of the lump sum to the AIM VCT,REF_1,False,Ongoing,Percentage,REF_1,,,AIM ongoing fee,,AIM_OI_VCT,,LUMP_SUM,NOVA
0.95,True,The ongoing fee paid to NOVA as a result of the GIA,REF_16,False,Ongoing,Percentage,REF_16,0.95,0.01,Ongoing advice fee,,GIA_HUBWISE,0121t0000001ePeA,OPEN_PRODUCT,NOVA
0.95,True,The ongoing fee paid to NOVA as a result of the Junior SIPP,REF_14,False,Ongoing,Percentage,REF_14,0.95,0.01,Ongoing advice fee,,JSIPP_HUBWISE,0124J000000d1BjQ,OPEN_PRODUCT,NOVA
3,False,Initial fee paid to Octopus Investments as a result of the lump sum to the Titan VCT,REF_6,True,One-off,Percentage,REF_6,3,0,Octopus Investments initial fee,,VCT_TITAN_OI,0121t0000001eO9AAI,LUMP_SUM,OCTOPUS_INVESTMENTS
0.95,True,The ongoing fee paid to NOVA as a result of the ISA,REF_11,False,Ongoing,Percentage,REF_11,0.95,0.01,Ongoing advice fee,,SSISA_HUBWISE,0121t0000001eNHA,OPEN_PRODUCT,NOVA
0.95,True,The ongoing fee paid to NOVA as a result of the SIPP,REF_12,False,Ongoing,Percentage,REF_12,0.95,0.01,Ongoing advice fee,,SIPP_HUBWISE,0121t0000001eRHAAY,OPEN_PRODUCT,NOVA
0.95,True,The ongoing fee paid to NOVA as a result of the Junior ISA,REF_13,False,Ongoing,Percentage,REF_13,0.95,0.01,Ongoing advice fee,,JISA_HUBWISE,0121t0000001l9AA,OPEN_PRODUCT,NOVA
3,False,Initial fee paid to Octopus Investments as a result of the lump sum to the Apollo VCT,REF_7,True,One-off,Percentage,REF_7,3,0,Octopus Investments initial fee,,VCT_APOLLO_OI,0121t0000001eO9AAI,LUMP_SUM,OCTOPUS_INVESTMENTS
3,False,Initial fee paid to Octopus Investments as a result of the lump sum to the AIM VCT,REF_8,True,One-off,Percentage,REF_8,3,0,Octopus Investments initial fee,,AIM_OI_VCT,0121t0000001eO9AAI,LUMP_SUM,OCTOPUS_INVESTMENTS
3,False,Initial fee paid to Octopus Investments as a result of the lump sum to the Future Generations VCT,REF_9,True,One-off,Percentage,REF_9,3,0,Octopus Investments initial fee,,FG_OI_VCT,0121t0000001eO9AAI,LUMP_SUM,OCTOPUS_INVESTMENTS
3,False,Initial fee paid to Octopus Investments as a result of the lump sum to the Knowledge Intensive EIS,REF_10,True,One-off,Percentage,REF_10,3,0,Octopus Investments initial fee,,KI_OI_EIS,0121t0000001eObA,LUMP_SUM,OCTOPUS_INVESTMENTS
1,True,Fee applied to external transfers in,REF_18,False,One-off,Percentage,REF_18,1,0,Transfer fee,a2V8e000000saRiEAI,,,EXTERNAL_TRANSFER_IN,NOVA
,True,Commission paid to us as a result of this protection product,REF_28,False,One-off,Fixed amount,REF_28,100000000,0,LV Relevant Life Commission,,LV_RELEVANT_LIFE,012Sl0000003lgjIAA,OPEN_PRODUCT,NOVA
,True,Commission paid to us as a result of this protection product,REF_24,False,One-off,Fixed amount,REF_24,100000000,0,LV FIB Commission,,LV_FIB,0124J000000cvmJQAQ,OPEN_PRODUCT,NOVA
,True,Commission paid to us as a result of this protection product,REF_27,False,One-off,Fixed amount,REF_27,100000000,0,LV Life Cover Commission,,LV_SINGLE_LIFE_COVER,0121t0000001eUvAAI,OPEN_PRODUCT,NOVA
,True,Commission paid to us as a result of this protection product,REF_25,False,One-off,Fixed amount,REF_25,100000000,0,LV IP Commission,,LV_INCOME_PROTECTION,0121t0000001eUZAAY,OPEN_PRODUCT,NOVA
,True,Commission paid to us as a result of this protection product,REF_26,False,One-off,Fixed amount,REF_26,100000000,0,LV Life & CIC Commission,,LV_LIFE_CIC,0121t0000001eU7AAI,OPEN_PRODUCT,NOVA
,True,Commission paid to us as a result of this protection product,REF_23,False,One-off,Fixed amount,REF_23,100000000,0,AIG Relevant Life Commission,,AIG_RELEVANT_LIFE,012Sl0000003lgjIAA,OPEN_PRODUCT,NOVA
,True,Commission paid to us as a result of this protection product,REF_19,False,One-off,Fixed amount,REF_19,100000000,0,AIG FIB Commission,,AIG_FIB,0124J000000cvmJQAQ,OPEN_PRODUCT,NOVA
,True,Commission paid to us as a result of this protection product,REF_22,False,One-off,Fixed amount,REF_22,100000000,0,AIG Life Cover Commission,,AIG_SINGLE_LIFE_COVER,0121t0000001eUvAAI,OPEN_PRODUCT,NOVA
,True,Commission paid to us as a result of this protection product,REF_20,False,One-off,Fixed amount,REF_20,100000000,0,AIG IP Commission,,AIG_INCOME_PROTECTION,0121t0000001eUZAAY,OPEN_PRODUCT,NOVA
,True,Commission paid to us as a result of this protection product,REF_21,False,One-off,Fixed amount,REF_21,100000000,0,AIG Life & CIC Commission,,AIG_LIFE_CIC,0121t0000001eU7AAI,OPEN_PRODUCT,NOVA
,True,Commission paid to us as a result of this protection product,REF_30,False,One-off,Fixed amount,REF_30,100000000,0,Aviva Relevant Life Commission,,AVIVA_RELEVANT_LIFE_COVER,,OPEN_PRODUCT,NOVA
,True,Commission paid to us as a result of this protection product,REF_31,False,One-off,Fixed amount,REF_31,100000000,0,Aviva FIB Commission,,AVIVA_FIB,,OPEN_PRODUCT,NOVA
,True,Commission paid to us as a result of this protection product,REF_32,False,One-off,Fixed amount,REF_32,100000000,0,Aviva Life Cover Commission,,AVIVA_SINGLE_LIFE_COVER,,OPEN_PRODUCT,NOVA
,True,Commission paid to us as a result of this protection product,REF_33,False,One-off,Fixed amount,REF_33,100000000,0,Aviva IP Commission,,AVIVA_INCOME_PROTECTION,,OPEN_PRODUCT,NOVA
,True,Commission paid to us as a result of this protection product,REF_34,False,One-off,Fixed amount,REF_34,100000000,0,Aviva Life & CIC Commission,,AVIVA_LIFE_&_CIC,,OPEN_PRODUCT,NOVA
,True,Commission paid to us as a result of this protection product,REF_35,False,One-off,Fixed amount,REF_35,100000000,0,Royal London Relevant Life Commission,,ROYAL_LONDON_RELEVANT_LIFE_COVER,,OPEN_PRODUCT,NOVA
,True,Commission paid to us as a result of this protection product,REF_36,False,One-off,Fixed amount,REF_36,100000000,0,Royal London FIB Commission,,ROYAL_LONDON_FIB,,OPEN_PRODUCT,NOVA
,True,Commission paid to us as a result of this protection product,REF_37,False,One-off,Fixed amount,REF_37,100000000,0,Royal London Life Cover Commission,,ROYAL_LONDON_SINGLE_LIFE_COVER,,OPEN_PRODUCT,NOVA
,True,Commission paid to us as a result of this protection product,REF_38,False,One-off,Fixed amount,REF_38,100000000,0,Royal London IP Commission,,ROYAL_LONDON_INCOME_PROTECTION,,OPEN_PRODUCT,NOVA
,True,Commission paid to us as a result of this protection product,REF_39,False,One-off,Fixed amount,REF_39,100000000,0,Royal London Life & CIC Commission,,ROYAL_LONDON_LIFE_&_CIC,,OPEN_PRODUCT,NOVA
,False,,MORTGAGE_PROCUREMENT,False,One-off,Fixed amount,MORTGAGE_PROCUREMENT,10000000000000,0,Mortgage procurement fee,,,,,
,False,The comission paid to us as a result of this product,EXETER_LIFE_COMISSION,False,One-off,Fixed amount,EXETER_LIFE_COMISSION,100000000,0,The Exeter Life Comission,,THE_EXETER_LIFE,0121t0000001eUvAAI,OPEN_PRODUCT,NOVA
,False,,EXETER_IP_COMISSION,False,One-off,Fixed amount,EXETER_IP_COMISSION,100000000,0,The Exeter IP Comission,,THE_EXETER_IP,0121t0000001eUZAAY,OPEN_PRODUCT,NOVA
,True,Fee applies when we are making an investment to a NOVA product as a result of a closing of an external investment that we've reviewed. This fee type should not be used for application of our advice setup fee.,INVESTMENT_TRANSFER_GIA,False,One-off,Fixed amount,INVESTMENT_TRANSFER_GIA,10000,0,Investment related transfer fee,,GIA_HUBWISE,0121t0000001ePeA,LUMP_SUM,NOVA
,True,Fee applies when we are making an investment to a NOVA product as a result of a closing of an external investment that we've reviewed. This fee type should not be used for application of our advice setup fee.,INVESTMENT_TRANSFER_ISA,False,One-off,Fixed amount,INVESTMENT_TRANSFER_ISA,10000,0,Investment related transfer fee,,SSISA_HUBWISE,0121t0000001eNHA,LUMP_SUM,NOVA
,True,Fee applies when we are making an investment to a NOVA product as a result of a closing of an external investment that we've reviewed. This fee type should not be used for application of our advice setup fee.,INVESTMENT_TRANSFER_JISA,False,One-off,Fixed amount,INVESTMENT_TRANSFER_JISA,10000,0,Investment related transfer fee,,JISA_HUBWISE,0121t0000001l9AA,LUMP_SUM,NOVA
,True,Fee applies when we are making an investment to a NOVA product as a result of a closing of an external investment that we've reviewed. This fee type should not be used for application of our advice setup fee.,INVESTMENT_TRANSFER_JSIPP,False,One-off,Fixed amount,INVESTMENT_TRANSFER_JSIPP,10000,0,Investment related transfer fee,,JSIPP_HUBWISE,0124J000000d1BjQ,LUMP_SUM,NOVA
,True,Fee applies when we are making an investment to a NOVA product as a result of a closing of an external investment that we've reviewed. This fee type should not be used for application of our advice setup fee.,INVESTMENT_TRANSFER_SIPP,False,One-off,Fixed amount,INVESTMENT_TRANSFER_SIPP,10000,0,Investment related transfer fee,,SIPP_HUBWISE,0121t0000001eRHAAY,LUMP_SUM,NOVA
